,time,exo_LF_1,exo_NLF_1,Unnamed: 0,exo_tas_1,exo_SL,exo_cyclpers_1,exo_D_N_1_1,exo_D_N_2_1,exo_D_N_3_1,exo_DH_1,exo_D_1_1
68,69,-0.47292675023009334,0.6103903506731112,2082,3.02800000000002,0.812580707709206,-38.37781347058412,0.16260360000000107,0.07206640000000047,0.01059800000000007,-0.019188906735292062,0.07595919538183549
69,70,-0.4944012006688223,0.6154337946013206,2083,3.596000000000004,0.8396430552604481,-22.97803280489793,0.1931052000000002,0.08558480000000009,0.012586000000000014,-0.011489016402448964,0.08060975418654123
70,71,-0.5157785092005902,0.6199492411347611,2084,4.021000000000015,0.8667054028116904,-1.0423485309885834,0.2159277000000008,0.09569980000000035,0.014073500000000051,-0.0005211742654942917,0.08974226879928243
71,72,-0.5370590717708819,0.6239582993610022,2085,3.394999999999982,0.8937677503629325,-21.949368159045168,0.18231149999999902,0.08080099999999957,0.011882499999999935,-0.010974684079522585,0.08461682898987039
72,73,-0.5585768928670722,0.6271283165174362,2086,3.899999999999977,0.9208300979141748,62.21800130059832,0.20942999999999876,0.09281999999999944,0.013649999999999917,0.03110900065029916,0.09389445260713979
73,74,-0.5799328009285336,0.6297667149102519,2087,4.1370000000000005,0.9478924454654172,13.90622787949313,0.22215690000000002,0.09846060000000001,0.0144795,0.006953113939746566,0.09583491464361057
74,75,-0.6010447645301005,0.6318284825680491,2088,4.09699999999998,0.9749547930166592,22.55610791569515,0.22000889999999892,0.09750859999999952,0.014339499999999929,0.011278053957847575,0.10103179152599377
75,76,-0.6218199306810344,0.6332644052962366,2089,4.045999999999992,1.0020171405679017,-39.71371587441437,0.21727019999999958,0.0962947999999998,0.014160999999999972,-0.019856857937207185,0.10061422374599388
76,77,-0.6421540735541176,0.6340207984540651,2090,4.432999999999993,1.0290794881191436,-45.0,0.2380520999999996,0.10550539999999982,0.015515499999999974,-0.0225,0.10378282631187623
77,78,-0.662065620661831,0.6339359286654664,2091,3.8859999999999673,1.062146635469339,3.898007752303407,0.20867819999999823,0.09248679999999922,0.013600999999999884,0.0019490038761517036,0.0993042071812878
78,79,-0.6814052430925246,0.6331291392023766,2092,4.637999999999977,1.095213782819534,-12.81764782873227,0.24906059999999874,0.11038439999999944,0.016232999999999918,-0.006408823914366135,0.10546128503540551
79,80,-0.7001565195787434,0.6316169901761719,2093,4.026999999999987,1.1282809301697292,8.45618347757329,0.21624989999999927,0.09584259999999968,0.014094499999999953,0.004228091738786645,0.100458659278935
80,81,-0.7183047061456489,0.6294149364671187,2094,4.382000000000005,1.1613480775199243,-11.156094988060808,0.23531340000000026,0.10429160000000011,0.015337000000000016,-0.005578047494030403,0.10336525853187634
81,82,-0.7358367868854003,0.6265373593006589,2095,4.831999999999994,1.1944152248701196,-22.652317550371876,0.25947839999999966,0.11500159999999984,0.016911999999999976,-0.011326158775185939,0.10704968012011154
82,83,-0.7524658253939491,0.6232732683923983,2096,5.034999999999968,1.2274823722203148,17.390655024393944,0.2703794999999983,0.11983299999999923,0.017622499999999888,0.008695327512196972,0.10871176363658192
83,84,-0.7684530375978897,0.6193642525113594,2097,4.168000000000006,1.26054951957051,-26.60618762514264,0.22382160000000034,0.09919840000000014,0.014588000000000021,-0.013303093812571321,0.10161311137658222
84,85,-0.7837905604994364,0.6148217024698406,2098,4.459000000000003,1.293616666920705,-24.350773552525,0.23944830000000017,0.10612420000000007,0.01560650000000001,-0.0121753867762625,0.10399570400364103
85,86,-0.7984722506740729,0.6096559711777645,2099,5.658000000000016,1.3266838142709003,-13.180446989962991,0.30383460000000084,0.13466040000000037,0.019803000000000057,-0.006590223494981496,0.11381264063540583
86,88,-0.8124936253386208,0.6038763563051042,2090,4.230571428571422,1.044806344735449,-9.572794009895498,0.22718168571428538,0.10068759999999982,0.014806999999999978,-0.004786397004947748,0.09695074519653482
86,88,-0.8124936253386208,0.6038763563051042,2090,4.230571428571422,1.044806344735449,-9.572794009895498,0.22718168571428538,0.10068759999999982,0.014806999999999978,-0.004786397004947748,0.09695074519653482
