Technology,Plan,Year,Capacity_MW
Coal_conv_biomassNH3_CFB,PDP8,2032,0
Coal_conv_biomassNH3_CFB,PDP8,2033,0
Coal_conv_biomassNH3_CFB,PDP8,2034,0
Coal_conv_biomassNH3_CFB,PDP8,2035,0
Coal_conv_biomassNH3_CFB,PDP8,2036,0
Coal_conv_biomassNH3_CFB,PDP8,2037,0
Coal_conv_biomassNH3_CFB,PDP8,2038,0
Coal_conv_biomassNH3_CFB,PDP8,2039,0
Coal_conv_biomassNH3_CFB,PDP8,2040,0
Coal_conv_biomassNH3_CFB,PDP8,2041,0
Coal_conv_biomassNH3_CFB,PDP8,2042,0
Coal_conv_biomassNH3_CFB,PDP8,2043,0
Coal_conv_biomassNH3_CFB,PDP8,2044,0
Coal_conv_biomassNH3_CFB,PDP8,2045,0
Coal_conv_biomassNH3_CFB,PDP8,2046,0
Coal_conv_biomassNH3_CFB,PDP8,2047,0
Coal_conv_biomassNH3_CFB,PDP8,2048,0
Coal_conv_biomassNH3_CFB,PDP8,2049,0
Coal_conv_biomassNH3_CFB,PDP8,2050,0
Coal_conv_biomassNH3_PVC,PDP8,2000,NA
Coal_conv_biomassNH3_PVC,PDP8,2001,NA
Coal_conv_biomassNH3_PVC,PDP8,2002,NA
Coal_conv_biomassNH3_PVC,PDP8,2003,NA
Coal_conv_biomassNH3_PVC,PDP8,2004,NA
Coal_conv_biomassNH3_PVC,PDP8,2005,NA
Coal_conv_biomassNH3_PVC,PDP8,2006,NA
Coal_conv_biomassNH3_PVC,PDP8,2007,NA
Coal_conv_biomassNH3_PVC,PDP8,2008,NA
Coal_conv_biomassNH3_PVC,PDP8,2009,NA
Coal_conv_biomassNH3_PVC,PDP8,2010,NA
Coal_conv_biomassNH3_PVC,PDP8,2011,NA
Coal_conv_biomassNH3_PVC,PDP8,2012,NA
Coal_conv_biomassNH3_PVC,PDP8,2013,NA
Coal_conv_biomassNH3_PVC,PDP8,2014,NA
Coal_conv_biomassNH3_PVC,PDP8,2015,NA
Coal_conv_biomassNH3_PVC,PDP8,2016,NA
Coal_conv_biomassNH3_PVC,PDP8,2017,NA
Coal_conv_biomassNH3_PVC,PDP8,2018,NA
Coal_conv_biomassNH3_PVC,PDP8,2019,NA
Coal_conv_biomassNH3_PVC,PDP8,2020,NA
Coal_conv_biomassNH3_PVC,PDP8,2021,NA
Coal_conv_biomassNH3_PVC,PDP8,2022,NA
Coal_conv_biomassNH3_PVC,PDP8,2023,NA
Coal_conv_biomassNH3_PVC,PDP8,2024,NA
Coal_conv_biomassNH3_PVC,PDP8,2025,0
Coal_conv_biomassNH3_PVC,PDP8,2026,0
Coal_conv_biomassNH3_PVC,PDP8,2027,0
Coal_conv_biomassNH3_PVC,PDP8,2028,0
Coal_conv_biomassNH3_PVC,PDP8,2029,0
Coal_conv_biomassNH3_PVC,PDP8,2030,0
Coal_conv_biomassNH3_PVC,PDP8,2031,0
Coal_conv_biomassNH3_PVC,PDP8,2032,0
Coal_conv_biomassNH3_PVC,PDP8,2033,0
Coal_conv_biomassNH3_PVC,PDP8,2034,0
Coal_conv_biomassNH3_PVC,PDP8,2035,0
Coal_conv_biomassNH3_PVC,PDP8,2036,0
Coal_conv_biomassNH3_PVC,PDP8,2037,0
Coal_conv_biomassNH3_PVC,PDP8,2038,0
Coal_conv_biomassNH3_PVC,PDP8,2039,0
Coal_conv_biomassNH3_PVC,PDP8,2040,0
Coal_conv_biomassNH3_PVC,PDP8,2041,0
Coal_conv_biomassNH3_PVC,PDP8,2042,0
Coal_conv_biomassNH3_PVC,PDP8,2043,0
Coal_conv_biomassNH3_PVC,PDP8,2044,0
Coal_conv_biomassNH3_PVC,PDP8,2045,0
Coal_conv_biomassNH3_PVC,PDP8,2046,0
Coal_conv_biomassNH3_PVC,PDP8,2047,0
Coal_conv_biomassNH3_PVC,PDP8,2048,0
Coal_conv_biomassNH3_PVC,PDP8,2049,0
Coal_conv_biomassNH3_PVC,PDP8,2050,0
Coal_PVC,PDP8,2000,550
Coal_PVC,PDP8,2001,550
Coal_PVC,PDP8,2002,1140
Coal_PVC,PDP8,2003,1140
Coal_PVC,PDP8,2004,1390
Coal_PVC,PDP8,2005,1279
Coal_PVC,PDP8,2006,1399
Coal_PVC,PDP8,2007,1584
Coal_PVC,PDP8,2008,1584
Coal_PVC,PDP8,2009,1884
Coal_PVC,PDP8,2010,1514
Coal_PVC,PDP8,2011,2794
Coal_PVC,PDP8,2012,2804
Coal_PVC,PDP8,2013,3844
Coal_PVC,PDP8,2014,6944
Coal_PVC,PDP8,2015,11304
Coal_PVC,PDP8,2016,10524
Coal_PVC,PDP8,2017,12814
Coal_PVC,PDP8,2018,14424
Coal_PVC,PDP8,2019,15624
Coal_PVC,PDP8,2020,16914
Coal_PVC,PDP8,2021,19314
Coal_PVC,PDP8,2022,21234
Coal_PVC,PDP8,2023,23144
Coal_PVC,PDP8,2024,23864
Coal_PVC,PDP8,2025,26163
Coal_PVC,PDP8,2026,26143
Coal_PVC,PDP8,2027,26123
Coal_PVC,PDP8,2028,26103
Coal_PVC,PDP8,2029,26083
Coal_PVC,PDP8,2030,26063
Coal_PVC,PDP8,2031,24759.85
Coal_PVC,PDP8,2032,23456.7
Coal_PVC,PDP8,2033,22153.55
Coal_PVC,PDP8,2034,20850.4
Coal_PVC,PDP8,2035,19547.25
Coal_PVC,PDP8,2036,18244.1
Coal_PVC,PDP8,2037,16940.95
Coal_PVC,PDP8,2038,15637.8
Coal_PVC,PDP8,2039,14334.65
Coal_PVC,PDP8,2040,13031.5
Coal_PVC,PDP8,2041,11728.349999999999
Coal_PVC,PDP8,2042,10425.2
Coal_PVC,PDP8,2043,9122.05
Coal_PVC,PDP8,2044,7818.9000000000015
Coal_PVC,PDP8,2045,6515.75
Coal_PVC,PDP8,2046,5212.5999999999985
Coal_PVC,PDP8,2047,3909.4500000000007
Coal_PVC,PDP8,2048,2606.2999999999993
Coal_PVC,PDP8,2049,1303.1500000000015
Coal_PVC,PDP8,2050,0
Export,PDP8,2000,NA
Export,PDP8,2001,NA
Export,PDP8,2002,NA
Export,PDP8,2003,NA
Export,PDP8,2004,NA
Export,PDP8,2005,NA
Export,PDP8,2006,NA
Export,PDP8,2007,NA
Export,PDP8,2008,NA
Export,PDP8,2009,NA
Export,PDP8,2010,NA
Export,PDP8,2011,NA
Export,PDP8,2012,NA
Export,PDP8,2013,NA
Export,PDP8,2014,NA
Export,PDP8,2015,NA
Export,PDP8,2016,NA
Export,PDP8,2017,NA
Export,PDP8,2018,NA
Export,PDP8,2019,NA
Export,PDP8,2020,NA
Export,PDP8,2021,NA
Export,PDP8,2022,NA
Export,PDP8,2023,NA
Export,PDP8,2024,NA
Export,PDP8,2025,0
Export,PDP8,2026,0
Export,PDP8,2027,0
Export,PDP8,2028,0
Export,PDP8,2029,0
Export,PDP8,2030,0
Export,PDP8,2031,0
Export,PDP8,2032,0
Export,PDP8,2033,0
Export,PDP8,2034,0
Export,PDP8,2035,0
Export,PDP8,2036,0
Export,PDP8,2037,0
Export,PDP8,2038,0
Export,PDP8,2039,0
Export,PDP8,2040,0
Export,PDP8,2041,0
